sample_id,sample_role,condition,spectrum_file,relative_path,filter_label,filter_nm,bin_start_nm,bin_end_nm,bin_center_nm,mean_intensity_10nm,median_intensity_10nm,std_intensity_10nm,points_in_bin
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,1020.0,1030.0,1024.926857,312.776786,312.87,28.702717,28.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,532.txt,in cutie\frunza sanatoasa dar galbena\spectru\532.txt,532,532,1030.0,1040.0,1032.275,327.407692,320.43,25.441348,13.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,180.0,190.0,188.705167,-69.368333,-55.925,31.606798,6.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,190.0,200.0,194.959762,45.138095,60.02,117.923725,21.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,200.0,210.0,204.905818,277.706818,281.83,32.434788,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,210.0,220.0,215.0625,290.883182,289.395,35.055742,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,220.0,230.0,224.968333,277.150476,274.27,32.06609,21.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,230.0,240.0,234.853682,277.706818,278.05,29.084126,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,240.0,250.0,244.948455,305.548636,296.955,67.058156,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,250.0,260.0,255.021727,293.862273,290.65,36.200091,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,260.0,270.0,265.073818,292.945909,289.39,31.570634,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,270.0,280.0,275.104455,296.153182,295.695,31.346421,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,280.0,290.0,285.113545,298.789091,296.955,34.553549,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,290.0,300.0,295.101045,289.622727,281.83,33.824333,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,300.0,310.0,305.066727,292.486818,294.43,30.264944,22.0
in cutie\frunza sanatoasa dar galbena,leaf_sample,healthy_yellow,556.txt,in cutie\frunza sanatoasa dar galbena\spectru\556.txt,556,556,310.0,320.0,315.010682,300.047727,296.96,34.659853,22.0
